ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/tam_nguyet_the_yen","Tâm Nguyệt Thể Yến"
"ex:monk/tam_nhat_mat_the","Tâm Nhất Mật Thể"
"ex:monk/tam_nhu_mat_nguyen","Tâm Như Mật Nguyện"
"ex:monk/tam_nhu_tri_thu","Tâm Như Trí Thủ"
"ex:monk/tam_niem_tu_y","Tâm Niệm Từ Ý"
"ex:monk/tam_phat_thien_sieu","Tâm Phật Thiện Siêu"
"ex:monk/tam_pho_thien_loc","Tâm Phổ Thiện Lộc"
"ex:monk/tam_pho_tri_uyen","Tâm Phổ Trí Uyên"
"ex:monk/tam_phong_an","Tam Phong Ấn"
"ex:monk/tam_quang_chanh_phap","Tâm Quang Chánh Pháp"
"ex:monk/tam_quang_dam_minh","Tâm Quang Đàm Minh"
"ex:monk/tam_tang_na_de","Tam Tạng Na Đề"
"ex:monk/tam_tang_na_de_bo_nhuo_phat_ta","Bố-Như-Ô-Phạt-Tà"
"ex:monk/tam_tang_na_de_phuoc_sinh","Phước Sinh"
"ex:monk/tam_tang_na_de_tam_tang_na_de","Tam Tạng Na Đề"
"ex:monk/tam_tang_na_de_thien_su","Thiền sư"
"ex:monk/tam_thai_thien_tri","Tâm Thái Thiện Trí"
"ex:monk/tam_thanh_chon_hien","Tâm Thanh Chơn Hiền"
"ex:monk/tam_thanh_chon_nghiem","Tâm Thanh Chơn Nghiêm"
"ex:monk/tam_thanh_chon_thuc","Tâm Thành Chơn Thức"
"ex:monk/tam_thanh_hue_nhien","Tam Thánh Huệ Nhiên"
"ex:monk/tam_thanh_ke_xuong","Tam Thánh Kế Xương"
"ex:monk/tam_thanh_tich_trang","Tâm Thanh Tịch Tràng"
"ex:monk/tam_that_thien_chau","Tâm Thật Thiện Châu"
"ex:monk/tam_thi_thien_minh","Tâm Thị Thiện Minh"
"ex:monk/tam_tho_thien_hy","Tâm Thọ Thiện Hỷ"
"ex:monk/tam_tho_tri_giai","Tâm Thọ Trí Giải"
"ex:monk/tam_thong_quang_hue","Tâm Thông Quảng Huệ"
"ex:monk/tam_to_phap_tong","Tam Tổ Pháp Tông"
"ex:monk/tam_tri_vien_giac","Tâm Trí Viên Giác"
"ex:monk/tam_truc_gioi_huong","Tâm Trực Giới Hương"
"ex:monk/tam_trung_chanh_truc","Tâm Trung Chánh Trực"
"ex:monk/tam_tue_thanh_tri","Tâm Tuệ Thanh Trí"
"ex:monk/tam_tue_thien_giai","Tâm Tuệ Thiện Giải"
"ex:monk/tam_ung_danh_le","Tâm Ưng Đảnh Lễ"
"ex:monk/tan_chau_dai_pham","Tấn Châu Đại Phạm"
"ex:monk/tan_chau_hoac_son","Tấn Châu Hoắc Sơn"
"ex:monk/tan_chau_hung_giao_pho","Tấn Châu Hưng Giáo Phổ"
"ex:monk/tan_la_bac_nghiem","Tân La Bạc Nghiêm"
"ex:monk/tan_la_ca_tri","Tân La Ca Trí"
"ex:monk/tan_la_dai_chung","Tân La Đại Chứng"
"ex:monk/tan_la_dai_lanh","Tân La Đại Lãnh"
"ex:monk/tan_la_dai_vo_vy","Tân La Đại Vô Vy"
"ex:monk/tan_la_hanh_tich","Tân La Hành Tịch"
"ex:monk/tan_la_kham_trung","Tân La Khâm Trung"
"ex:monk/tan_la_khanh_hien","Tân La Khánh Hiến"
"ex:monk/tan_la_kim_tang","Tân La Kim Tạng"
"ex:monk/tan_la_lang","Tân La Lãng"
"ex:monk/tan_la_ngoa_long","Tân La Ngọa Long"
"ex:monk/tan_la_phap_lang","Tân La Pháp Lãng"
"ex:monk/tan_la_quy_son","Tân La Quy Sơn"
"ex:monk/tan_la_thanh_hu","Tân La Thành Hư"
"ex:monk/tan_la_thanh_vien","Tân La Thanh Viện"
"ex:monk/tan_la_thuan_chi","Tân La Thuận Chi"
"ex:monk/tan_la_thuy_nham","Tân La Thụy Nham"
"ex:monk/tan_la_tue","Tân La Tuệ"
"ex:monk/tan_la_tue_van","Tân La Tuệ Vân"
"ex:monk/tan_la_van_tru","Tân La Vân Trú"
"ex:monk/tang_chu_pho_dung","Tạng Chủ Phổ Dung"
"ex:monk/tang_dien","Tăng Diễn"
"ex:monk/tang_gia_nan_de","Tôn Giả Tăng Già Nan Đề"
"ex:monk/tang_khai","Cư Sĩ Nội Hàng Tăng Khai"
"ex:monk/tang_na","Tăng Na"
"ex:monk/tang_xan","Tôn Giả Tăng Xán"
"ex:monk/tanh_chieu_nhat_niem","Tánh Chiếu Nhất Niệm"
"ex:monk/tanh_chuc_thien_thuan","Tánh Chúc Thiện Thuận"
"ex:monk/tanh_hoat_hue_canh","Tánh Hoạt Huệ Cảnh"
"ex:monk/tanh_hong_hai_tang","Tánh Hồng Hải Tạng"
"ex:monk/tanh_hue_nhat_chon","Tánh Huệ Nhất Chơn"
"ex:monk/tanh_hue_nhat_nguyen","Tánh Huệ Nhất Nguyên"
"ex:monk/tanh_khong_dieu_pho","Tánh Không Diệu Phổ"
"ex:monk/tanh_thien_an_cu","Tánh Thiện An Cư"
"ex:monk/tanh_thien_nhat_dinh","Tánh Thiên Nhất Định"
"ex:monk/tanh_thong_giac_ngo","Tánh Thông Giác Ngộ"
"ex:monk/tanh_thong_nhat_tri","Tánh Thông Nhất Trí"
"ex:monk/tanh_tinh_nhat_xuong","Tánh Tịnh Nhất Xương"
"ex:monk/tanh_toan_nhat_the","Tánh Toàn Nhất Thể"
"ex:monk/tanh_tri_giac_quang","Tánh Trí Giác Quang"
"ex:monk/tao_khe_linh_thao","Tào Khê Linh Thao"
"ex:monk/tao_lang_phap_thao","Tào Lãng Pháp Thao"
"ex:monk/tao_son_bon_tich","Tào Sơn Bổn Tịch"
"ex:monk/tao_son_nghia_sung","Tào Sơn Nghĩa Sùng"
"ex:monk/tao_son_tue_ha","Tào Sơn Tuệ Hà"
"ex:monk/tay_du_tinh_doan","Tây Du Tịnh Đoan"
"ex:monk/tay_du_tinh_doan","Tây Dư Tịnh Đoan"
"ex:monk/tay_duong_tri_tang","Tây Đường Trí Tạng"
"ex:monk/tay_khe_dao_thai","Tây Khê Đạo Thái"
"ex:monk/tay_kinh_nghia_phuoc","Tung Sơn Phổ Tịch"
"ex:monk/tay_kinh_nghia_phuoc","Tây Kinh Nghĩa Phước"
"ex:monk/tay_kinh_van_nham","Tây Kinh Vân Nham"
"ex:monk/tay_lam_sung_ao","Tây Lâm Sùng Áo"
"ex:monk/tay_nham_tong_hoi","Tây Nham Tông Hồi"
"ex:monk/tay_phong_ky_tuc_khoat","Tây Phong Kỳ Túc Khoát"
"ex:monk/tay_son_dao_tung","Tây Sơn Đạo Tùng"
"ex:monk/tay_son_hue_chieu","Tây Sơn Huệ Chiếu"
"ex:monk/tay_son_tue","Tây Sơn Tuệ"
"ex:monk/tay_su_cung_than","Tây Sư Củng Thần"
"ex:monk/tay_thap_quang_muc","Tây Tháp Quang Mục"
"ex:monk/tay_thien_danh_nhu","Tây Thiền Ðảnh Nhu"
"ex:monk/tay_thien_hy_tu","Tây Thiền Hy Tú"
"ex:monk/tay_thien_thu_tinh","Tây Thiền Thủ Tịnh"
"ex:monk/tay_thien_van_lien","Tây Thiền Văn Liên"
"ex:monk/tay_thien_vien","Tây Thiền Viễn"
"ex:monk/tay_thuc_loan","Tây Thục Loan"
"ex:monk/tay_viem_dam_tang","Tây Viên Đàm Tạng"
"ex:monk/tay_vien_tu_minh","Tây Viện Tư Minh"
"ex:monk/tay_vuc_quat_da_tam_tang","Tây Vực Quật Đa Tam Tạng"
"ex:monk/tay_xuyen_bo_thuy_nham","Tây Xuyên Bố Thủy Nham"
"ex:monk/tay_xuyen_thanh_thanh_thua","Tây Xuyên Thanh Thành Thừa"
"ex:monk/tay_xuyen_trung_chieu","Tây Xuyên Trừng Chiếu"
"ex:monk/te_an_luu_quang","Tế Ân Lưu Quang"
"ex:monk/te_bon_vien_thuong","Tế Bổn Viên Thường"
"ex:monk/te_cam_linh_phu","Tế Cảm Linh Phù"
"ex:monk/te_can_tu_chieu","Tế Căn Từ Chiếu"
"ex:monk/te_chanh_bon_giac","Tế Chánh Bổn Giác"
"ex:monk/te_chau_thien_ung","Tề Châu Thiện Ứng"
"ex:monk/te_dai_khanh_thuy","Tế Đài Khánh Thụy"
"ex:monk/te_dien_nhu_bon","Tế Điền Như Bổn"
"ex:monk/te_dung","Tế Dũng"
"ex:monk/te_duong_chau_cap","Tế Đường Châu Cấp"
"ex:monk/te_duyen_quang_giac","Tế Duyên Quảng Giác"
"ex:monk/te_hau_khanh_lien","Tế Hẩu Khánh Liên"
"ex:monk/te_hien_buu_duong","Tế Hiển Bửu Dương"
"ex:monk/te_hiep_hai_dien","Tế Hiệp Hải Điện"
"ex:monk/te_huyen_ung_am","Tế Huyền Ứng Am"
"ex:monk/te_khoan_trung_hung","Tế Khoán Trừng Hưng"
"ex:monk/te_ky","Tề Kỷ"
"ex:monk/te_lich_chanh_van","Tế Lịch Chánh Văn"
"ex:monk/te_man_to_huan","Tế Mẫn Tổ Huấn"
"ex:monk/te_ngan_thanh_tung","Tế Ngạn Thanh Tùng"
"ex:monk/te_ngu_chanh_dung","Tế Ngữ Chánh Dũng"
"ex:monk/te_nhon_huu_bui","Tế Nhơn Hữu Bùi"
"ex:monk/te_phap_chi_kha","Tế Pháp Chí Khả"
"ex:monk/te_pho_vien_tri","Tế Phổ Viên Trì"
"ex:monk/te_phong","Tề Phong"
"ex:monk/te_quang_pho_chan","Tế Quảng Phổ Chấn"
"ex:monk/te_thuong_an_duong","Tế Thường An Dưỡng"
"ex:monk/te_tin_chanh_truc","Tế Tín Chánh Trực"
"ex:monk/te_tri_huu_phi","Tế Trí Hữu Phỉ"
"ex:monk/te_triet_giac_nguyen","Tế Triệt Giác Nguyên"
"ex:monk/te_vi_truong_chieu","Tế Vĩ Trường Chiếu"
"ex:monk/te_y_hoang_cau","Tế Ý Hoằng Câu"
"ex:monk/thach_co_dong_chau","Thạch Cổ Ðộng Châu"
"ex:monk/thach_cu_hao_thang","Thạch Cư Hạo Thăng"
"ex:monk/thach_cung_hue_tang","Ngũ Đài Ẩn Phong"
"ex:monk/thach_cung_hue_tang","Thạch Củng Huệ Tạng"
"ex:monk/thach_cuu","Thạch Cữu"
"ex:monk/thach_dau_hoai_chi","Am Chủ Thạch Đầu Hoài Chí"
"ex:monk/thach_dau_hy_thien","Thạch Đầu Hy Thiên"
"ex:monk/thach_dau_tu_hoi","Thạch Đầu Tự Hồi"
"ex:monk/thach_dinh_to_tuyen","Thạch Đình Tổ Tuyền"
"ex:monk/thach_lam","Thạch Lâm"
"ex:monk/thach_lam_tu","Thạch Lâm Tú"
"ex:monk/thach_liem_dai_san","Thạch Liêm Đại Sán"
"ex:monk/thach_mon_nguyen_di","Thạch Môn Nguyên Dị"
"ex:monk/thach_mon_nha","Thạch Môn Nhã"
"ex:monk/thach_mon_phap_chan","Thạch Môn Pháp Chân"
"ex:monk/thach_mon_thieu_vien","Thạch Môn Thiệu Viễn"
"ex:monk/thach_mon_thu_tan","Thạch Môn Thủ Tấn"
"ex:monk/thach_mon_tue_triet","Thạch Môn Tuệ Triệt"
"ex:monk/thach_phat_hien_trong","Thạch Phật Hiển Trọng"
"ex:monk/thach_phat_tue_minh","Thạch Phật Tuệ Minh"
"ex:monk/thach_suong_dai_thien","Thạch Sương Đại Thiện"
"ex:monk/thach_suong_huy","Thạch Sương Huy"
"ex:monk/thach_suong_khanh_chu","Thạch Sương Khánh Chư"
"ex:monk/thach_suong_phap_vinh","Thạch Sương Pháp Vĩnh"
"ex:monk/thach_suong_so_vien","Thạch Sương Sở Viên"
"ex:monk/thach_suong_tanh_khong","Thạch Sương Tánh Không"
"ex:monk/thach_suong_thu_ton","Thạch Sương Thủ Tôn"
"ex:monk/thach_suong_tiet_thanh","Thạch Sương Tiết Thành"
"ex:monk/thach_suong_tong_giam","Thạch Sương Tông Giám"
"ex:monk/thach_tang_tue_cu","Thạch Tạng Tuệ Cự"
"ex:monk/thach_that_thien_dao","Thạch Thất Thiện Đạo"
"ex:monk/thach_vu_minh_phuong","Thạch Vũ Minh Phương"
"ex:monk/thai_binh_an","Thái Bình An"
"ex:monk/thai_binh_hue_can_phat_giam","Thái Bình Huệ Cần Phật Giám"
"ex:monk/thai_binh_tue_khong","Thái Bình Tuệ Không"
"ex:monk/thai_chau_bach_van_nai","Thai Châu Bạch Vân Nãi"
"ex:monk/thai_chau_thang_quang","Thai Châu Thắng Quang"
"ex:monk/thai_duong_canh_huyen","Thái Dương Cảnh Huyền"
"ex:monk/thai_nguyen_hai_ho","Thái Nguyên Hải Hồ"
"ex:monk/thai_nguyen_phu","Thái Nguyên Phù"
"ex:monk/thai_nguyen_tu_phuoc_doan","Thái Nguyên Tư Phước Đoan"
"ex:monk/thai_nguyen_tu_thanh_phuong","Thái Nguyên Tư Thánh Phương"
"ex:monk/thai_son_tri_kien","Thái Sơn Trí Kiên"
"ex:monk/thai_thu_hua_thuc_lang_trung","Thái Thú Hứa Thức Lang Trung"
"ex:monk/thai_thu_le_chau_loi_man","Thái Thú Lễ Châu Lôi Mãn"
"ex:monk/thai_tu_dao_nhat","Thái Tử Ðạo Nhất"
"ex:monk/thai_tu_dong_quang","Thái Tử Ðạo Nhất"
"ex:monk/thai_tu_dong_quang","Thái Tử Đồng Quảng"
"ex:monk/than_danh_hong_nhan","Thần Đảnh Hồng Nhân"
"ex:monk/than_nhien","Quốc Sư Cao Ly Thản Nhiên"
"ex:monk/than_quang_ao_tan","Thần Quang Ðạo Tân"
"ex:monk/than_quang_dao_tan","Thần Quang Ðạo Tân"
"ex:monk/than_son_tang_mat","Thần Sơn Tăng Mật"
"ex:monk/thang_chau_hoa_nghiem_u","Thăng Châu Hoa Nghiêm U"
"ex:monk/thang_nghiep_duy_huong","Thắng Nghiệp Duy Hưởng"
"ex:monk/thang_nhan_ham_tinh","Thắng Nhân Hàm Tỉnh"
"ex:monk/thang_qua_ao_hoa","Thắng Quả Ðạo Hòa"
"ex:monk/thanh_an_duy_thuc","Thanh Ẩn Duy Thục"
"ex:monk/thanh_an_thanh_nguyen","Thanh Ẩn Thanh Nguyên"
"ex:monk/thanh_binh_duy_khoang","Thanh Bình Duy Khoáng"
"ex:monk/thanh_binh_linh_tuan","Thanh Bình Linh Tuân"
"ex:monk/thanh_binh_so_kim","Thanh Bình Sở Kim"
"ex:monk/thanh_chan_vien_giac","Thanh Chân Viên Giác"
"ex:monk/thanh_chi_minh_dung","Thành Chí Minh Dung"
"ex:monk/thanh_chu_mat_nghia","Thanh Chư Mật Nghĩa"
"ex:monk/thanh_dam_minh_chanh","Thanh Đàm Minh Chánh"
"ex:monk/thanh_dang_minh_luong","Thành Đẳng Minh Lượng"
"ex:monk/thanh_do_the_ky","Thành Đô Thế Kỳ"
"ex:monk/thanh_duc_tam_khoan","Thanh Đức Tâm Khoan"
"ex:monk/thanh_duong_thong_huyen","Thanh Dương Thông Huyền"
"ex:monk/thanh_hoa_su_not","Thanh Hóa Sư Nột"
"ex:monk/thanh_hoa_toan_pho","Thanh Hóa Toàn Phó"
"ex:monk/thanh_khe_hong_tan","Thanh Khê Hồng Tấn"
"ex:monk/thanh_kim_quang_diem","Thanh Kim Quang Diễm"
"ex:monk/thanh_lam_su_kien","Thanh Lâm Sư Kiền"
"ex:monk/thanh_liem_tam_thien","Thanh Liêm Tâm Thiền"
"ex:monk/thanh_lien_tam_thien","Thanh Liên Tâm Thiền"
"ex:monk/thanh_linh_dien_truong","Thanh Linh Diên Trường"
"ex:monk/thanh_luong_duc_hong","Thanh Lương Ðức Hồng"
"ex:monk/thanh_luong_hong_tinh","Thanh Lương Hồng Tịnh"
"ex:monk/thanh_luong_huu_phuc","Thanh Lương Hưu Phục"
"ex:monk/thanh_luong_pho_hien","Thanh Lương Phổ Hiện"
"ex:monk/thanh_luong_thai_kham","Thanh Lương Thái Khâm"
"ex:monk/thanh_luong_than","Thanh Lương Thản"
"ex:monk/thanh_luong_tong_quy","Thanh Lương Tổng Quy"
"ex:monk/thanh_ngo_nghiem_am","Thành Ngộ Nghiêm Am"
"ex:monk/thanh_nguyen_duy_tin","Thanh Nguyên Duy Tín"
"ex:monk/thanh_nguyen_hanh_tu","Thanh Nguyên Hành Tư"
"ex:monk/thanh_nguyen_minh_nam","Thanh Nguyên Minh Nam"
"ex:monk/thanh_nguyen_nhu","Thanh Nguyên Như"
"ex:monk/thanh_nguyen_te","Thanh Nguyên Tề"
"ex:monk/thanh_nguyen_tien_giang","Thanh Nguyên Tiên Giảng"
"ex:monk/thanh_nhac_an_son","Thành Nhạc Ẩn Sơn"
"ex:monk/thanh_nhan_quang_lam","Thanh Nhàn Quảng Lãm"
"ex:monk/thanh_nhan_tam_quang","Thanh Nhàn Tâm Quảng"
"ex:monk/thanh_ninh_tam_tinh","Thanh Ninh Tâm Tịnh"
"ex:monk/thanh_ninh_tam_truyen","Thanh Ninh Tâm Truyền"
"ex:monk/thanh_phuoc_nhu_lam","Thanh Phước Như Lâm"
"ex:monk/thanh_phuoc_tam_an","Thanh Phước Tâm An"
"ex:monk/thanh_quang_thuong_doanh","Thanh Quang Thường Doanh"
"ex:monk/thanh_quy_chon_thiet","Thanh Quý Chơn Thiệt"
"ex:monk/thanh_tam_dieu_ung","Thanh Tâm Diệu Ứng"
"ex:monk/thanh_thai_hue_minh","Thanh Thái Huệ Minh"
"ex:monk/thanh_thai_phuoc_chi","Thanh Thái Phước Chỉ"
"ex:monk/thanh_thien_hoang_chinh","Thánh Thiện Hoằng Chính"
"ex:monk/thanh_tho_la_nguyen_nghiem","Thánh Thọ La Nguyên Nghiêm"
"ex:monk/thanh_thuan_hanh_nha","Thanh Thuần Hạnh Nhã"
"ex:monk/thanh_tien_bao_ung","Thành Tiến Bảo Ứng"
"ex:monk/thanh_tin_ung_nghiem","Thanh Tín Ứng Nghiệm"
"ex:monk/thanh_tinh_tam_the","Thanh Tịnh Tâm Thể"
"ex:monk/thanh_trang_nhu_tinh","Thanh Tràng Như Tịnh"
"ex:monk/thanh_tri_hai_luan","Thanh Trí Hải Luận"
"ex:monk/thanh_tu","Thanh Từ"
"ex:monk/thanh_tu_hue_phap","Thanh Tú Huệ Pháp"
"ex:monk/thanh_tuyen_thu_thanh","Thanh Tuyền Thủ Thanh"
"ex:monk/thanh_van_tam_thanh","Thanh Vân Tâm Thành"
"ex:monk/thanh_vien_nhan_tu","Thanh Viên Nhân Từ"
"ex:monk/thanh_vien_phat_nhan","Lang Sơn Tuệ Ôn"
"ex:monk/thanh_vien_phat_nhan","Thanh Viễn Phật Nhãn"
"ex:monk/thanh_y_giac_hue","Thanh Y Giác Huệ"
"ex:monk/thao_am_phap_nghia","Thảo Am Pháp Nghĩa"
"ex:monk/thao_xao_thong_thanh","Thao Xảo Thông Thánh"
"ex:monk/thao_y_nham_khanh","Thảo Y Nham Khánh"
"ex:monk/thap_tuong_tham_sieu","Thập Tướng Thẩm Siêu"
"ex:monk/the_hien_tue_vien","Thê Hiền Tuệ Viên"
"ex:monk/the_nham_ton_tho","Thê Nham Tồn Thọ"
"ex:monk/the_thang_ke_sieu","Thê Thắng Kế Siêu"
"ex:monk/thi_an_dieu_tho","Thị An Diệu Thọ"
"ex:monk/thi_an_phuoc_binh","Thị An Phước Bình"
"ex:monk/thi_ban_hanh_thien","Thị Bản Hạnh Thiện"
"ex:monk/thi_binh_dieu_khai","Thị Bình Diệu Khai"
"ex:monk/thi_cang_trang_nghiem","Thị Cang Trang Nghiêm"
"ex:monk/thi_canh_vien_minh","Thị Cảnh Viên Minh"
"ex:monk/thi_chau_minh_nghia","Thị Châu Minh Nghĩa"
"ex:monk/thi_chau_quang_thanh","Thị Châu  Quang Thanh"
"ex:monk/thi_chau_quang_thanh","Thị Châu Quang Thanh"
"ex:monk/thi_chi_dieu_qua","Thị Chi Diệu Quả"
"ex:monk/thi_chi_phuoc_ho","Thị Chí Phước Hộ"
"ex:monk/thi_dam_tue_trung","Thị Đàm Tuệ Trung"
"ex:monk/thi_dan_hanh_chau","Thị Đản Hạnh Châu"
"ex:monk/thi_gia_qua","Thị Giả Quả"
"ex:monk/thi_hai_chanh_niem","Thị Hải Chánh Niệm"
"ex:monk/thi_hai_hanh_son","Thị Hải Hành Sơn"
"ex:monk/thi_hai_hanh_son","Thị Hải Hạnh Sơn"
"ex:monk/thi_hoa_vien_giac","Thị Hòa Viên Giác"
"ex:monk/thi_hon_nhon_tho","Thị Hớn Nhơn Thọ"
"ex:monk/thi_hue_bao_an","Thị Huệ Bảo An"
"ex:monk/thi_huu_giac_quang","Thị Hữu Giác Quang"
"ex:monk/thi_khai_ong_minh","Thị Khai Ðỗng Minh"
"ex:monk/thi_khoa_hanh_le","Thị Khoa Hạnh Lễ"
"ex:monk/thi_lac_hung_tu","Thị Lạc Hưng Từ"
"ex:monk/thi_loi_hanh_loc","Thị Lợi Hạnh Lộc"
"ex:monk/thi_long","Thị Long"
"ex:monk/thi_man_quang_phuc","Thị Mẫn Quang Phúc"
"ex:monk/thi_nang_tri_huu","Thị Năng Trí Hữu"
"ex:monk/thi_ngo_my_quang","Thị Ngộ Mỹ Quang"
"ex:monk/thi_ngoc_hanh_chau","Thị Ngọc Hạnh Châu"
"ex:monk/thi_nguyen_phuoc_hue","Thị Nguyên Phước Huệ"
"ex:monk/thi_nguyen_thanh_quang","Thị Nguyện Thanh Quang"
"ex:monk/thi_nhat_hanh_dat","Thị Nhật Hạnh Đạt"
"ex:monk/thi_niem_phuoc_ninh","Thị Niệm Phước Ninh"
"ex:monk/thi_phuoc_tue_vien","Thị Phước Tuệ Viên"
"ex:monk/thi_quang_dat_ngo","Thị Quang Đạt Ngộ"
"ex:monk/thi_quang_hue_minh","Thị Quang Huệ Minh"
"ex:monk/thi_sa_phuoc_hue","Thị Sa Phước Huệ"
"ex:monk/thi_son_hanh_chon","Thị Sơn Hạnh Chơn"
"ex:monk/thi_tan_hue_tu","Thị Tân  Huệ Từ"
"ex:monk/thi_tap_hue_thong","Thị Tập Huệ Thông"
"ex:monk/thi_thanh_vo_vi","Thị Thanh Vô Vi"
"ex:monk/thi_thien_doan_nghiem","Thị Thiện Đoan Nghiêm"
"ex:monk/thi_thinh_bao_quang","Thị Thỉnh Bảo Quang"
"ex:monk/thi_tho_nhon_hien","Thị Thọ Nhơn Hiền"
"ex:monk/thi_thuong_bao_phuoc","Thị Thượng Bảo Phước"
"ex:monk/thi_thuy_quang_duc","Thị Thuỷ Quảng Đức"
"ex:monk/thi_tiet_hanh_phong","Thị Tiết Hạnh Phong"
"ex:monk/thi_tin_phuoc_tri","Thị Tín Phước Trí"
"ex:monk/thi_tram_hai_nhu","Thị Trạm Hải Như"
"ex:monk/thi_trinh","Thị Trình"
"ex:monk/thi_truc_buu_nghia","Thị Trực Bửu Nghĩa"
"ex:monk/thi_trung_hanh_truc","Thị Trung Hạnh Trực"
"ex:monk/thi_trung_ngo_thong","Thị Trung Ngộ Thông"
"ex:monk/thi_tu_hanh_phuoc","Thị Tư Hạnh Phước"
"ex:monk/thi_uan_thuan_phong","Thị Uẩn Thuần Phong"
"ex:monk/thi_viet_hue_nghiem","Thị Việt Huệ Nghiêm"
"ex:monk/thi_vinh_hue_lien","Thị Vinh Huệ Liên"
"ex:monk/thi_xuat_giac_hue","Thị Xuất Giác Huệ"
"ex:monk/thi_xuat_hue_quy","Thị Xuất  Huệ Quý"
"ex:monk/thi_y_hanh_dao","Thị Ý Hạnh Đạo"
"ex:monk/thich_an_luc","Thích Ấn Lực"
"ex:monk/thich_an_luc","Ấn Triêm Từ Minh"
"ex:monk/thich_ca_mau_ni_phat","Thích Ca Mâu Ni Phật"
"ex:monk/thich_chon_chau","Thích Chơn Châu"
"ex:monk/thich_chon_dung","Thích Chơn Dung"
"ex:monk/thich_chon_nguyen","Thích Chơn Nguyên"
"ex:monk/thich_chon_tuc","Thích Chơn Túc"
"ex:monk/thich_dao_chuong","Thích Đạo Chương"
"ex:monk/thich_duong_dung","Thích Đương Dung"
"ex:monk/thich_nhu_hien","Thích Như Hiền"
"ex:monk/thich_nu_chuc_tam","Thích Nữ Chúc Tâm"
"ex:monk/thich_pho_dieu","Thích Phổ Diệu"
"ex:monk/thiem_chau_long_the","Thiểm Châu Long Thê"
"ex:monk/thiem_phu_thien_phuoc","Thiểm Phủ Thiên Phước"
"ex:monk/thien_an","Thiên Ân"
"ex:monk/thien_binh_khe_ngu","Thiên Bình Khế Ngu"
"ex:monk/thien_chuong_xu","Thiên Chương Xu"
"ex:monk/thien_dai_van_cu_tri","Thiên Thai Vân Cư Trí"
"ex:monk/thien_dao","Thiện Đạo"
"ex:monk/thien_dong_dam_hoa","Thiên Đồng Đàm Hoa"
"ex:monk/thien_dong_ham_khai","Thiên Đồng Hàm Khải"
"ex:monk/thien_dong_lieu_phac","Thiên Đồng Liễu Phác"
"ex:monk/thien_dong_nhu_tinh","Thiên Đồng Như Tịnh"
"ex:monk/thien_dong_pho_giao","Long Nha Tông Mật"
"ex:monk/thien_dong_pho_giao","Thiên Đồng Phổ Giao"
"ex:monk/thien_dong_thanh_toai","Thiên Đồng Thanh Toại"
"ex:monk/thien_dong_tinh_toan","Thiên Đồng Tịnh Toàn"
"ex:monk/thien_dong_tong_giac","Thiên Đồng Tông Giác"
"ex:monk/thien_dong_tu_ngung","Thiên Đồng Tử Ngưng"
"ex:monk/thien_hoang_dao_ngo","Thiên Hoàng Đạo Ngộ"
"ex:monk/thien_khanh_thu_long","Thiện Khánh Thủ Long"
"ex:monk/thien_khe_kha_trang","Thiền Khê Khả Trang"
"ex:monk/thien_long_trong_co","Thiên Long Trọng Cơ"
"ex:monk/thien_muc_duy_tac","Thiên Mục Duy Tắc"
"ex:monk/thien_muc_van_le","Thiên Mục Văn Lễ"
"ex:monk/thien_nham_nguyen_truong","Thiên Nham Nguyên Trường"
"ex:monk/thien_ninh_kha","Thiên Ninh Kha"
"ex:monk/thien_ninh_pham_tu","Thiên Ninh Phạm Tư"
"ex:monk/thien_ninh_quynh","Thiên Ninh Quỳnh"
"ex:monk/thien_phong_giac","Thiên Phong Giác"
"ex:monk/thien_phong_tu_quy","Thiên Phong Tử Quy"
"ex:monk/thien_phuc","Thiện Phục"
"ex:monk/thien_quang_tan","Thiện Quang Tấn"
"ex:monk/thien_quyen_phap_tri","Thiện Quyền Pháp Trí"
"ex:monk/thien_thai_pho_ngan","Thiên Thai Phổ Ngạn"
"ex:monk/thien_thai_van_cu_tri","Thiên Thai Vân Cư Trí"
"ex:monk/thien_thanh_hao_thai","Thiên Thánh Hạo Thái"
"ex:monk/thien_tong_hanh_thao","Thiên Tông Hành Thao"
"ex:monk/thien_tong_khe_phu","Thiên Tông Khế Phù"
"ex:monk/thien_tong_thu_phe","Thiên Tông Thủ Phê"
"ex:monk/thien_tru_sung_hue","Thiên Trụ Sùng Huệ"
"ex:monk/thien_truc_nghia_chung","Thiên Trúc Nghĩa Chứng"
"ex:monk/thien_truc_tu_nghi","Thiên Trúc Tử Nghi"
"ex:monk/thien_tu_thuong_khai","Thiện Từ Thường Khai"
"ex:monk/thien_tue_bao_chuong","Thiên Tuế Bảo Chưởng"
"ex:monk/thien_vuong_chi","Thiên Vương Chí"
"ex:monk/thien_vuong_dao_ngo","Thiên Vương Đạo Ngộ"
"ex:monk/thien_vuong_tang_chu_thong","Thiên Vương Tạng Chủ Thông"
"ex:monk/thien_y_phap_thong","Thiên Y Pháp Thông"
"ex:monk/thiep_chau_chu_khe_khiem","Thiệp Châu Chu Khê Khiêm"
"ex:monk/thiep_chau_mau_nguyen","Thiệp Châu Mậu Nguyên"
"ex:monk/thiet_bao_cam_ung","Thiệt Bảo Cảm Ứng"
"ex:monk/thiet_dam_chanh_luan","Thiệt Đàm Chánh Luân"
